ANC.A totalGEN totalN delta n rate U_exact L_exact
25 302954.847859894 6997 2 26 0.000103375959227045 0.000151466632076041 6.75294682017096e-05
26 231619.346952401 5313 -2 5 2.60027501123976e-05 6.06809620416611e-05 8.44307814483152e-06
26 231619.346952401 5313 -1 105 0.000546057752360349 0.000661005640963238 0.000446639283707616
26 231619.346952401 5313 1 283 0.0014717556563617 0.00165347891966331 0.00130535165528104
26 231619.346952401 5313 2 41 0.00021322255092166 0.000289251769806345 0.000153015907187648
27 118012.084410745 2780 -2 10 0.000102069885979433 0.000187703615860494 4.894738473354e-05
27 118012.084410745 2780 -1 73 0.000745110167649864 0.000936790261447339 0.000584084426376394
27 118012.084410745 2780 1 125 0.00127587357474292 0.00151999268716982 0.00106211648862516
27 118012.084410745 2780 2 21 0.00021434676055681 0.000327636616596827 0.00013268805382285
28 37653.1025705136 859 -2 6 0.000191944023376701 0.00041774330575496 7.04428830479023e-05
28 37653.1025705136 859 -1 24 0.000767776093506805 0.00114221542924041 0.000491979776871089
28 37653.1025705136 859 1 43 0.00137559883419969 0.00185256046918046 0.000995674306003289
28 37653.1025705136 859 2 8 0.000255925364502268 0.000504224382966939 0.000110495911802634
29 40149.4509461614 935 -2 0 0 0.000110668466070211 0
29 40149.4509461614 935 -1 50 0.00150008028953527 0.00197729892972622 0.00111356593111379
29 40149.4509461614 935 1 70 0.00210011240534938 0.00265278595766278 0.00163745344301569
29 40149.4509461614 935 2 5 0.000150008028953527 0.000350043560265952 4.87091873905405e-05
30 51443.3776922023 1169 -2 8 0.000187320203927058 0.000369070337663449 8.08749498096616e-05
30 51443.3776922023 1169 -1 73 0.0017092968608344 0.00214880743609214 0.00134001827452991
30 51443.3776922023 1169 1 90 0.0021073522941794 0.00258979334048155 0.00169484658896643
30 51443.3776922023 1169 2 16 0.000374640407854116 0.000608337984822539 0.00021415312238982
31 46260.6047780547 1044 -2 4 0.000104153242767065 0.000266653400284836 2.83785966569501e-05
31 46260.6047780547 1044 -1 89 0.0023174096515672 0.00285111488167606 0.00186138695613874
31 46260.6047780547 1044 1 109 0.00283817586540253 0.00342282314539117 0.00233088410935936
31 46260.6047780547 1044 2 34 0.000885302563520056 0.00123693034994484 0.000613155186000367
32 33308.9955149959 758 -2 8 0.000289302749933172 0.000569975244785761 0.000124907025769923
32 33308.9955149959 758 -1 78 0.00282070181184843 0.00351934026210391 0.00223016137782207
32 33308.9955149959 758 1 145 0.00524361234253874 0.00616754155767048 0.00442631887916341
32 33308.9955149959 758 2 13 0.000470116968641405 0.000803802837850341 0.00025033653631652
